Country/Territory,Latitude,Longitude,Administrative division level 2,Species 1,Susceptible 1,Cases 1,Dead 1,Killed 1,Slaughtered 1,Confirmation date
Romania,44.542,28.327,Vulturu,Sheep/goats (mixed herd),146.0,146.0,1.0,145.0,0.0,2024-08-13
Greece,39.774,22.564,Thessaly,Goats,318.0,,,,,2024-08-13
Greece,39.716,22.545,Thessaly,Sheep/goats (mixed herd),208.0,,,,,2024-08-13
Greece,39.724,22.568,Thessaly,Sheep,140.0,,,,,2024-08-13
Romania,44.762,28.615,Baia,Sheep,160.0,160.0,3.0,157.0,0.0,2024-08-10
Greece,39.8,22.098,Thessaly,Sheep,608.0,30.0,10.0,,,2024-08-09
Romania,44.552,28.331,Vulturu,Goats,289.0,289.0,3.0,286.0,0.0,2024-08-08
Greece,39.732,21.607,Thessaly,Sheep/goats (mixed herd),360.0,40.0,18.0,,,2024-08-07
Greece,38.596,21.377,West Greece,Sheep/goats (mixed herd),152.0,35.0,3.0,,,2024-08-07
Greece,38.505,21.148,West Greece,Sheep,358.0,,,,,2024-08-07
Greece,41.145,25.31,East Macedonia and Thrace,Sheep,170.0,15.0,,,,2024-08-07
Greece,39.779,22.097,Thessaly,Sheep/goats (mixed herd),417.0,,,,,2024-08-06
Greece,37.847,22.41,Peloponnese,Sheep,210.0,20.0,1.0,,,2024-08-05
Greece,37.849,22.414,Peloponnese,Sheep,182.0,,,,,2024-08-05
Greece,37.848,22.413,Peloponnese,Sheep/goats (mixed herd),116.0,,,,,2024-08-05
